Which of the following options will save edits made to a record?,Export,Deploy,View,Save
How would a user return to their default homepage/default workspace?,By clicking on the image in the top left corner,Through the main menu icon in the left panel,By clicking their user menu on the top right corner,By refreshing the entire browser page,
Data publications allow a user to extract data from Archer and load it to:,An external database,An external content server,A zip file,An RSS Feed,
An iView or Widget can be used to display which of the following?,Links,Embedded external content,Charts,Any of these,
"Ruth noticed that after updating a record and closing it, the new information wasn�t in the records when she opened it again. This is because:",She did not select Save,She did not have permission to edit that record,She did not select apply,She did not select Submit Record to Workflow,Reports
What is the focus of the Third Party Management solution area in Archer?,Managing audit trails for external partners,Managing supplier relationships and monitoring third-part risks,Handling internal employee compliance,Configuring data feeds between systems,
A keyword search searches for a specific word or string within one or more:,Workspaces,Applications,Reports,Data-Driven Events,
Applications which are entirely designed and deployed by your organization for your specific business needs are called:,Custom Applications,Blank Applications,Skeleton Applications,On-Demand Applications,
Applications house specific sets of ___________:,Databases,Records,Tasks,Attachments,
A field that cannot be edited but changes based on information entered into other fields is a:,Dynamic field,Systems field,Calculated field,Operational field,
Which of the following best describes a Solution within Archer?,A database used for backups,A grouping of applications designed to address a specific business need,A collection of users with the same access level,A standalone mobile application,
"In Archer, which feature allows importing data from external systems?",Mail Merge,Report Builder,Data Feed Manager,Field Editor,
"In order to determine what an organization has purchased from Archer, an administrator should check the ______________:",Application Database,Licensing Information,User Agreement,Visible Workspace names,
Users can filter search results based on any of the following EXCEPT which of the following options?,Data ranges,Size of Records,Cross-referenced field selections,Value List Fields,
"Sonja was viewing a record in Archer. She wanted to add a note to it, but the Edit button was greyed out. What would cause this?",This application was set to Retired,Someone else was working on the record at the same time,Sonja does not have editing permissions for this record,Sonja's account has been locked for security reasons,
How does Archer Evolv Risk help organizations manage risk more effectively?,By automating IT infrastructure monitoring,By focusing only on financial risks,By integrating media analytics with risk management,By providing a centralized platform for monitoring and mitigating risks in real time,
Which is NOT a method by which data can be imported into Archer?,Scanning,Data feeds,manual Data import,API,
Which of the following features is most commonly associated with Archer Evolv Compliance?,Financial Transaction tracking,Employee training management,"Continuous monitoring of regulatory changes, document processing, obligations catalog, and controls alignment",Inventory management and optimization,
"Once a user performs an advanced search against an application, the search may be saved as a(n):",Query log,Report,Application File,Record,
"If a user wanted to provide additional information to a questionnaire item, they should:",Open and submit a comment attached to the question,Add a question to the Question Library that pertains to the additional information,Add an attachment to the questionnaire and reference the question number,Send an email to the requester,
"Andre�s job as a business resiliency analyst includes logging and reporting crisis events to his Chief Risk Officer and Chief InfoSec Officer. Currently, Andre maintains this data on a spreadsheet that he updates and emails to the CRO and CISO as necessary. How might this practice be putting his organization in danger of increased risk?",Potential data loss due to corrupted files/attachments,All of these,Human error involved in manually updating a spreadsheet,Updating and sharing a file after a crisis event does not allow for risk teams to analyse trends and proactively prevent risk,
Data Feeds are ideally used for which of the following?,Small uploads of data on an ad-hoc basis,End users to designate another use to serve in their place during periods when they are out of office,Data to be sent out of Archer and into an external database on a regular cadence,Archer data feed to be added or modified on a pre-defined schedule,
"Ayanna no longer needs to receive a specific weekly risk report Subscription Notification. In order to opt out of the emailed report, she should:",Archive the report,Contact her administrator and ask them to remove her from the distribution list,"Navigate to email subscriptions, locate the report in her subscriptions list, and uncheck the subscribed box",Create a filter to automatically delete the report in her email client,
What does Archer Evolv Risk use to enhance its risk management processes?,Real-time manual data entry,AI and machine learning predict potential risks and optimize workflows,manual risk assessments,Only historical data trends,
Which is NOT a right that can be assigned to a user in Archer?,APPEND,CREATE,DELETE,READ,
"Terri created a report and saved it, but wants to edit the filters she used to make the data more relevant for her team. Which option should she select from the report toolbar?",Modify (Classic UI) or Edit Search (SaaS UI),Save as,Related Data ,New Report,
"Serena has five tasks within Archer assigned to her, and she can see all five tasks in a ""My Tasks"" report on her dashboard. Serena visits her teammate Beth, and peers over her shoulder to see the same dashboard on Beth's screen. Beth's dashboard displays ten tasks, not the five that Serena sees. What is the most likely cause?",Serena's tasks have not reached the same status value as Beth's,Beth's My Tasks report has been modified to include tasks assigned to both Beth and Serena,"The report on the dashboard is using a filter on the Assigned To field, that limits the results returned to be only those for whom the user currently logged in can access",Five additional tasks have been assigned during the walk Serena took from her desk to Beth's desk.,
"If granted the appropriate administrative rights, end users can:",Edit and share global dashboards,Create and edit personal dashboards,Create global reports,All of these,
The main difference between a Personal Report and a Global Report is:,"Global reports are clickable, while Persona reports are display-only",personal reports cannot be exported,"Personal reports are only visible to the person who created the report, which Global reports are always visible to all Archer users","Personal reports are only visible to the person who created the report, which Global reports can be set to be seen by others, as deigned by the person saving the report",
